issuekey,title,description,storypoint
KANOO-5667,AUT - Smoke Kanoo GDS Give Gift Card - redemption,* Use the gift card for redemption* Check the remaining amount of the gift card,5
KANOO-5648,[ARM Merchant] - Transactions - View Refund History,"*Acceptance Criteria** Going to Transaction page, clicking on three dot-icon of a Credit Card transaction that has been refunded, I see an option called “Refund History“. This option only displays when there is at least one refund transaction proceeded* Selecting this displays the list of refund transactions that have been created from the original Credit Card transaction** Transaction ID** Refund Amount** Reason: Display at least 2 lines. If the length is greater than 2 lines, display ellipsis, and when hovering on I can see full text** Status** Refund DateMockup: [https://xd.adobe.com/view/854492e0-7f70-4845-b697-4c66800f99c5-d017/|https://xd.adobe.com/view/854492e0-7f70-4845-b697-4c66800f99c5-d017/|smart-link] ",3
KANOO-5640,[BE] KZ Site - Guest Payment using PWK ,* Save unpaid orders and this order is the same as the unpaid orders created on KanooPOS (tablet version) by staff and then it can be paid on Kanoo app/POS.* Send order ID to PWK.* Not save an external payment transaction on PWK for this internal payment request.* Handle callback from PWK to process the next steps.** Successful payment*** Update order to be Paid*** Send order detail to the customer*** Save “Kanoo Purchase” transaction*** Show the successful screen as the current process** Failed payment*** Show the failed screen with error codes provided by PWK.**** Not enough money in the account**** Invalid credit card**** TBD,8
KANOO-5635,BE - Create DAL with dynamic MySQL connection for load balancing,Separate db reader instances will be provided by DevOps. BE need to modify DAL implementation to adapt to this improvement.# *Config 2 data source for writing & reading Database for all services working with MySQL.*example: [https://stackoverflow.com/questions/30337582/spring-boot-configure-and-use-two-datasources|https://stackoverflow.com/questions/30337582/spring-boot-configure-and-use-two-datasources|smart-link] # *Write sample code* for reading & writing DatabaseRef: [https://kardsys.atlassian.net/browse/KANOO-5563|https://kardsys.atlassian.net/browse/KANOO-5563|smart-link] ,13
KANOO-5623,BE - Deploy a test component to Staging2 loading Transactions data from Athena,Write api test for performance on Athena.# {color:#ff5630}SDK {color}Athena{noformat}curl --location --request GET 'https://kanoo-gateway-staging2.kardsys.com/reporting/test/athena/sdk?sql=SELECT%20SUM(amount)%20as%20totalAmount%20FROM%20kanoo_staging.transaction_dashboard_view%20LIMIT%202;' \--header 'apiKey: Agunysu012nVebVcoGyYRchm6yPHiX2QtY07XNX4l4jwvleq'{noformat}# {color:#ff5630}JDBC {color}Athena{noformat}curl --location --request GET 'https://kanoo-gateway-staging2.kardsys.com/reporting/test/athena/trans?sql=SELECT%20*%20FROM%20kanoo_staging.transaction_dashboard_view%20LIMIT%202;' \--header 'apiKey: Agunysu012nVebVcoGyYRchm6yPHiX2QtY07XNX4l4jwvleq'{noformat}|*transaction_dashboard_view*| ||timestamp|BIGINT||_class|VARCHAR||processingStatus|VARCHAR||amount|DOUBLE||money|DOUBLE||couponAmount|DOUBLE||usedAmount|DOUBLE||redemptionValue|DOUBLE||externalAmount|DOUBLE||*sysfee_dashboard_view*|| |||timestamp|BIGINT||feeType|VARCHAR||feeAmount|DOUBLE||feeVat|DOUBLE|{color:#ff5630}*TEST CASES*{color}# {color:#00b8d9}Sync correct data (Old data) : {color}- Transaction: OK- SysFee: OK# {color:#00b8d9}Migrate new data:{color}- Transaction: OK ( less than 1minute).- SysFee: OK# {color:#00b8d9}Migrate new when user insert new data{color}:  OK({color:#ff5630}user’s view sometime will be confuse{color})# {color:#00b8d9}Select athena data when DMS deleting old data{color}: OK,3
KANOO-5616,[iOS] Kanoo POS - Set the maximum number of attempts to enter wrong passwords for 5,"After fixing [https://kardsys.atlassian.net/browse/KANOO-4099|https://kardsys.atlassian.net/browse/KANOO-4099|smart-link] , I received an official request from Kanoo that they want the maximum number of attemps to be *5.*",1
KANOO-5556,AUT - Load Kanoo Transactions page,"Load test for Visipay, ARM Merchant and ARM Master - Transactions pageExpect page load fully completed within 5s",5
KANOO-5555,AUT - Load Kanoo Visipay - Dashboard,Load test Visipay - Dashboard pageExpected page load fully completed within 5s,5
KANOO-5554,AUT - Load Kanoo  PWK Guest Checkout with Credit Card,Load test for PWK Guest Checkout with Credit CardExpect to have the output for limitation of PWK Guest Checkout component.,5
KANOO-5553,AUT - Smoke Kanoo GDS Give Gift Card,"* Login as Manager, give  gift cards for single and multiple users",5
KANOO-5552,AUT - Smoke Kanoo GDS Manager Management,Login as AdminCreate ManagerEdit Manager informationLogin with new created Manager,5
KANOO-5551,AUT - Smoke Kanoo PWK payment as login User,* Payment success with cash card* Payment success with sand dollard card* Payment fails insufficient balance for both 2 cases above.* Payment fails KYC,3
KANOO-5550,AUT - Smoke Kanoo PWK payment as Guest with Credit Card,* PWK* Guest Credit Card* Payment success* Payment fails insufficient balance.* Payment fails invalid CVV* Payment fails invalid expiry date* Payment fails invalid Credit Card Number,5
KANOO-5549,AUT - Smoke Kanoo web-app Purchasing Flow,* Login as existing user* Add item into shopping cart* Make payment* Check order amount* Check transaction history amount and fee. * Check balance,5
KANOO-5548,AUT - Smoke Kanoo web-app Wallet and Transfer Flow,"* Signup* Login using new signup user* Login using existing user* Check wallet balance* Transfer money, check the balance after transferring.",5
KANOO-5547,AUT - Smoke KZ Site Purchasing Flow,* Login using existing user* Check wallet balance* Purchase* Add item into shopping cart* Make payment* Check order amount* Check transaction history amount and fee. * Check balance* Purchase As Guest with Credit Card,5
KANOO-5546,AUT - Smoke Kanoo App Purchasing Flow,Login as existing userAdd item into shopping cartMake paymentCheck order amountCheck transaction history amount and fee. Check balance,5
KANOO-5545,AUT - Smoke Kanoo App Wallet and Transfer,"Login as existing UserCheck wallet balanceTransfer money, check the balance after transferring.",5
KANOO-5544,AUT - Smoke Kanoo App Access Flow,SignupLogin using new signup userLogin using existing user,3
KANOO-5537,[iOS] Hotfix - Remove SSL certification check,Remove the logic check for SSL certification in iOS App verifying the API domain SSL.,1
KANOO-5534,"[BE] Visipay - Fees Configuration - ""Gift Card Cancellation"" change","*Acceptance criteria** After creating a new fee for Gift card Cancelation in [https://kardsys.atlassian.net/browse/KANOO-5448|https://kardsys.atlassian.net/browse/KANOO-5448|smart-link] , there is a change for that fee** We only allow setting Percentage for this fee so that when editing I do not need to expand the Value Type drop-down anymore. It will be always Percentage %** *Apply for only “Gift Card Cancellation Refund“ fee*!image-20210720-021411 (00b404ab-b5ba-4807-bdc4-08f0d5834527).png|width=100%!",2
KANOO-5530,[BE] GDS - Display Gift Cash Card in places,"*Acceptance Criteria*+_User page → User Details modal_+* If that user has been issued Cash Card for N times with the same issuer, I can see only one record||Method||Amount||Amount Used||Status||Email||Phone||Issuance Status||Date||Actions|||Cash Card|<This is the total amount of N times>|<This the total amount used until the current day>|Not Used or Used or Partially Used|<the latest email in N times>|<the latest Phone Number in N times>|SUCCESS|<the last date in N times>|It is empty|+_Reports → Issuance_+* After a GCC is issued, I can see basic information such as ||Gift Image||NIB number||Email||Phone||Value of Benefit Used||Value of Benefit Given||Type of Benefit Given||Merchant||Issuance Date|||<Yellow Card image>|<nib of user>|<email of user>|<phone of user>|<used amount>|<original amount>|Cash Card|<issuer name>|<issuance Date>|* If a Cash Card is issued for one Kanoo user N times by the same issuer, I should see n record. For example, GCC issued for NIB007 3 times with amount $1.00, $2.00, $3.00 respectively, it displays as below||Gift  Image||NIB number||Email||Phone||Value of Benefit Used||Value of Benefit Given||Type of Benefit Given||Merchant||Issuance Date|||<Yellow Card image>|NIB007|kingma@kardapp.net|+18447744261|<The last used amount>|$3.00|Cash Card|shoppe@yopmail.com|Jul 19, 2021, 15:45||<Yellow Card image>|NIB007|kingma@kardapp.net|+18447744261|$0.00|$2.00|Cash Card|shoppe@yopmail.com|Jul 19, 2021, 12:45||<Yellow Card image>|NIB007|kingma@kardapp.net|+18447744261|$0.00|$1.00|Cash Card|shoppe@yopmail.com|Jul 19, 2021, 11:45|",2
KANOO-5528,[BE] Kanoo - Wallet - Display acceptable merchants of issued Gift Cash Cards,Follow [https://kardsys.atlassian.net/browse/KANOO-5526|https://kardsys.atlassian.net/browse/KANOO-5526|smart-link] ,2
KANOO-5527,[Web] Kanoo - Wallet - Display acceptable merchants of issued Gift Cash Cards,Follow [https://kardsys.atlassian.net/browse/KANOO-5526|https://kardsys.atlassian.net/browse/KANOO-5526|smart-link] *Mockup*:!image-20210719-105813.png|width=100%!!image-20210719-105849.png|width=100%!!image-20210719-110157.png|width=100%!,2
KANOO-5526,[Android] Kanoo - Wallet - Display acceptable merchants of issued Gift Cash Cards,Follow the requirement in [https://kardsys.atlassian.net/browse/KANOO-5525|https://kardsys.atlassian.net/browse/KANOO-5525|smart-link] ,2
KANOO-5525,[iOS] Kanoo - Wallet - Display acceptable merchants of issued Gift Cash Cards,"As a Kanoo User accessing wallet then Gift Cash Card detail page, I should be able to see the information for acceptable merchants for that GCC.*Acceptance Criteria** Going to GCC details, I can see the list of redeemable merchants positioned below Scan to Pay option* The current label “ACCEPTABLE MERCHANT“ is removed. It is changed base on 3 cases below** If that GCC is accepted to redeem at some merchants, the label is “Accept at“. It lists out acceptable merchants** If that GCC is accepted to redeem at ALL merchants, the label is “Accept at“. It displays “All Merchants“** If that GCC is accepted to redeem at ALL merchants but except some, the label is “Accept at all except“. It lists out the list of excepted merchants* If the list is too long to display, there is a VIEW MORE button that clicking on it goes to the full list in a new screen*Mockup*: [https://xd.adobe.com/view/ac86c950-4fdb-4d15-ba95-0d29177be708-f9d5/screen/a26f6742-a458-43e2-a14c-a913efec651d/|https://xd.adobe.com/view/ac86c950-4fdb-4d15-ba95-0d29177be708-f9d5/screen/a26f6742-a458-43e2-a14c-a913efec651d/|smart-link] ",2
KANOO-5510,Stress Test for multi-instance of Visipay,"Stress test PWK, Visipay service to auto-scale new Visipay instance.",3
KANOO-5498,[SDE Payment] via PWK - Implement new payment workflow,"*Acceptance Criteria** Consumer access SDE site, input the invoice number and click on “Make Payment” on invoice details page.* Consumer are redirected to PWK site with GOV QR code* Consumer Pay with the following options** The consumer uses Kanoo User access Kanoo App, click on Sand Dollar card. Then click “Send” button in card details and send with the option “Not a Kanoo User“** The consumer uses Kanoo User access Kanoo App, click on Sand Dollar card. Then click on “Scan to Pay” button in card details then scan the QR** The consumer uses Reference App to scan QR code in PWK, the amount* The amount charged will go directly to the default wallet of that Agency. The same workflow for Sub Agency. * Below is the graph for new payment workflow!image-20210719-092520.png|width=996,height=530!+_Fee_+* There is no fee applicable in this flow.+_Transaction when using Not Kanoo User_+* In Visipay, it saves 2 transactions with type ** Transfer Money*** Remitter: <User Full Name>*** Beneficiary: Guest - <unique invoice generated by SDE>** External Payment*** Remitter: Guest - kanooa*** Beneficiary: Guest - <12 digit of Agency SD card>* In User Site, it saves 1 transaction with type ** Transfer Money*** Remitter: <User Full Name>/<4 last digits of Kanoo SD Card>*** Beneficiary: Guest - <unique invoice generated by SDE>* Not saving transaction for ARM master+_Transaction when using Scan To Pay_+* In Visipay, it saves 2 transactions with type ** External Payment*** Remitter: <User Full Name>*** Beneficiary: Guest - <unique invoice generated by SDE>** External Payment*** Remitter: Guest - kanooa*** Beneficiary: Guest - <12 digit of Agency SD card>* In User Site, it saves 1 transaction with type ** External Payment*** Remitter: <User Full Name>/<4 last digits of Kanoo SD Card>*** Beneficiary: Guest - <unique invoice generated by SDE>* Not saving transaction for ARM master+_Transaction when using Reference App_+* In Visipay, it saves 1 transaction with type ** External Payment*** Remitter: custom name of SD Card*** Beneficiary: Guest - <12 digit of Agency SD card>* Not saving transaction for ARM master",5
KANOO-5499,[SDE Payment] via PWK - Display Invoice Number and QR Code for making payment,"As a Kanoo User or guest making SDE payment, I should be able to see QR code and Custo Name of the wallet of Agency or Sub Agency to complet the payment*Acceptance Criteria** After entering invoice number, it navigates to PWK widget where I can see the one invoice number (returned from [https://kardsys.atlassian.net/browse/SDE-232|https://kardsys.atlassian.net/browse/SDE-232|smart-link] ). User will scan this QR code to make payment or enter the invoice number manually.* I can copy this QR code by Copy QR button. Clicking on this copies QR code and displays toast message “Copies“* This QR code includes the amount ❓ * This QR code can be expired. After the count-down timer is over, it moves to Payment Failed, I can click on Remake Payment button to generates a new invoice number!image-20210715-145105.png|width=100%!",5
KANOO-5489,[Android] KGP App - Set Kiosk Mode for Kanoo Government Payments app,"Set Kiosk Mode for Gorvenment App!image-20210715-101055.png|width=360,height=480!",3
KANOO-5486,BE - add timestamp field when insert document into system_fee_report collection.,"Please , add {color:#d04437}timestamp{color} field when insert data into system_fee_report collection.timestamp is equal date. but it's value must be number type not Date type.",3
KANOO-5485,DevOps - Run script add timestamp field to system_fee_report colletion ,"Run script add timestamp field to system_fee_report colletion to migrate Date to Athena.Collection: {color:#ff5630}*system_fee_report*{color}{code:javascript}var cursor = db.system_fee_report.aggregate([     {""$match"": {""timestamp"": {""$exists"": false}}},    { ""$project"":  {         ""timestamp"": { ""$subtract"": [  ""$date"", new Date(0) ] }     }}])var requests = [];cursor.forEach(document => {     requests.push( {         'updateOne': {            'filter': { '_id': document._id },            'update': { '$set': { 'timestamp': document.timestamp } }        }    });    if (requests.length === 500) {        //Execute per 500 operations and re-init        db.system_fee_report.bulkWrite(requests);        requests = [];    }});if(requests.length > 0) {     db.system_fee_report.bulkWrite(requests);}{code}",1
KANOO-5484,[BE] Print receipt - display the logo of agency instead of GOV,Return  agency logoURL in the get terminal information API.Ref: API to get the Agency info from SDE system : [https://kardsys.atlassian.net/browse/SDE-228|https://kardsys.atlassian.net/browse/SDE-228|smart-link] ,2
KANOO-5481,[BE] Public Services - Display Invoice number instead of Invoice ID,"*Acceptance Criteria** After entering Invoice number (for ex, PD-4272), it moves to the invoice details but displays Invoice ID, not invoice Number. * The label should be changed from “Invoice ID“ to “Invoice Number“ and it should display the invoice number PD-4272!image-20210714-093121.png|width=687,height=1189!",1
KANOO-5480,[BE][SDE Payment] - PWK by SD - Allow Kanoo User scan and pay the invoice QR Code,"*Acceptance Criteria** Accessing PWK from both internal SDE and external SDE consumer sites. * Open Kanoo App and Login, access Wallet → Sand Dollar card. Then click either on “Scan To Pay”  or “Send” and choose “Not A Kanoo User”. Open the camera to scan the PWK invoice QR or type the QR value* Process the payment normally as we have for scan merchant QR or Terminal QR* When the payment in-app is successful, PWK will be redirected to the complete screen. Terminal will be refresh in case of SDE internal site",1
KANOO-5479,[Android] Public Services - Display Invoice number instead of Invoice ID,Follow [https://kardsys.atlassian.net/browse/KANOO-5478|https://kardsys.atlassian.net/browse/KANOO-5478|smart-link] ,1
KANOO-5478,[iOS] Public Services - Display Invoice number instead of Invoice ID ,"*Acceptance Criteria** After entering Invoice number (for ex, PD-4272), it moves to the invoice details but displays Invoice ID, not invoice Number. * The label should be changed from “Invoice ID“ to “Invoice Number“ and it should display the invoice number PD-4272!image-20210714-093121.png|width=687,height=1189!",1
